Average Domestic Airline Itinerary Fares By Origin City for 2013 Ranked by Total Number of Domestic Passengers in 2022,,,,,,,,,,,,,,,,,,
2022 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2023),2022 Passengers (10% sample),,,,,,,,,,,
214,SCK,Stockton Metro,Stockton,CA,107.33,140.39," 5,611 ",,,,,,,,,,,
215,PBG,Plattsburgh International,Plattsburgh,NY,168.98,221.03," 5,586 ",,,,,,,,,,,
216,ORH,Worcester Regional,Worcester,MA,281.35,367.99," 5,549 ",,,,,,,,,,,
217,ELM,Elmira/Corning Regional,Elmira/Corning,NY,411.75,538.56," 5,505 ",,,,,,,,,,,
218,BET,Bethel Airport,Bethel,AK,507.11,663.29," 5,312 ",,,,,,,,,,,
219,YUM,Yuma MCAS/Yuma International,Yuma,AZ,492.85,644.63," 5,258 ",,,,,,,,,,,
220,SAF,Santa Fe Municipal,Santa Fe,NM,462.51,604.95," 5,229 ",,,,,,,,,,,
221,GUM,Guam International,Guam,TT,1591.69,2081.88," 5,218 ",,,,,,,,,,,
222,MLU,Monroe Regional,Monroe,LA,485.07,634.46," 5,172 ",,,,,,,,,,,
223,KTN,Ketchikan International,Ketchikan,AK,474.63,620.80," 5,128 ",,,,,,,,,,,
224,LNK,Lincoln Airport,Lincoln,NE,483.07,631.84," 5,025 ",,,,,,,,,,,
225,RST,Rochester International,Rochester,MN,438.61,573.69," 4,946 ",,,,,,,,,,,
226,ACK,Nantucket Memorial,Nantucket,MA,304.01,397.64," 4,855 ",,,,,,,,,,,
227,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,490.36,641.37," 4,846 ",,,,,,,,,,,
228,SPI,Abraham Lincoln Capital,Springfield,IL,408.11,533.80," 4,759 ",,,,,,,,,,,
229,COU,Columbia Regional,Columbia,MO,406.77,532.04," 4,756 ",,,,,,,,,,,
230,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,424.28,554.95," 4,741 ",,,,,,,,,,,
231,LAN,Capital Region International,Lansing,MI,391.67,512.29," 4,701 ",,,,,,,,,,,
232,CWA,Central Wisconsin,Mosinee,WI,543.30,710.62," 4,682 ",,,,,,,,,,,
233,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,470.03,614.79," 4,620 ",,,,,,,,,,,
234,HLN,Helena Regional,Helena,MT,532.68,696.73," 4,615 ",,,,,,,,,,,
235,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,575.49,752.72," 4,485 ",,,,,,,,,,,
236,GRI,Central Nebraska Regional,Grand Island,NE,249.27,326.04," 4,448 ",,,,,,,,,,,
237,MBS,MBS International,Saginaw/Bay City/Midland,MI,546.03,714.19," 4,353 ",,,,,,,,,,,
238,IAG,Niagara Falls International,Niagara Falls,NY,143.44,187.62," 4,309 ",,,,,,,,,,,
239,HHH,Hilton Head Airport,Hilton Head,SC,522.54,683.47," 4,200 ",,,,,,,,,,,
240,FLG,Flagstaff Pulliam,Flagstaff,AZ,473.52,619.36," 4,171 ",,,,,,,,,,,
241,ABI,Abilene Regional,Abilene,TX,453.45,593.10," 4,165 ",,,,,,,,,,,
242,PUW,Pullman Moscow Regional,Pullman,WA,381.02,498.37," 4,162 ",,,,,,,,,,,
243,CSG,Columbus Airport,Columbus,GA,544.29,711.92," 4,148 ",,,,,,,,,,,
244,CPR,Casper/Natrona County International,Casper,WY,461.55,603.70," 4,132 ",,,,,,,,,,,
245,ERI,Erie International/Tom Ridge Field,Erie,PA,396.53,518.65," 4,108 ",,,,,,,,,,,
246,PSM,Portsmouth International at Pease,Portsmouth,NH,103.24,135.03," 3,923 ",,,,,,,,,,,
247,LSE,La Crosse Regional,La Crosse,WI,553.11,723.46," 3,870 ",,,,,,,,,,,
